date,account_id,payee,amount_eur,currency,category,tags,note,external_id,source
2025-09-20,Giro_DE1234,UCAR,-32.25,EUR,Lebensmittel,supermarkt,"Wocheneinkauf",,csv
2025-09-20,Giro_DE1234,kaffee,-4.50,EUR,Lebensmittel,Kaffeteria,"Espresso",,csv
2025-09-20,Giro_DE1234,Backwerk,-11.00,EUR,Lebensmittel,Kaffeteria,"Frühstück",,csv
2025-09-21,Giro_DE1234,Backwerk,-3.00,EUR,Lebensmittel,Kaffeteria,"Frühstück",,csv
2025-09-22,Giro_DE1234,kaffee,-3.60,EUR,Lebensmittel,Kaffeteria,"Espresso",,csv
2025-09-22,Giro_DE1234,kaffee,-1.80,EUR,Lebensmittel,Kaffeteria,"Espresso",,csv
2025-09-22,Giro_DE1234,LIDL,-8.00,EUR,Lebensmittel,supermarkt,"Fehlende Produkte",,csv
2025-09-23,Giro_DE1234,kaffee,-3.60,EUR,Lebensmittel,Kaffeteria,"Espresso",,csv
2025-09-24,Giro_DE1234,kaffee,-3.60,EUR,Lebensmittel,Kaffeteria,"Espresso",,csv
2025-09-25,Giro_DE1234,kaffee,-3.60,EUR,Lebensmittel,Kaffeteria,"Espresso",,csv
2025-09-25,Giro_DE1234,LIDL,-16.17,EUR,Lebensmittel,supermarkt,"Fehlende Produkte",,csv
2025-09-26,Giro_DE1234,LIDL,-14.25,EUR,Lebensmittel,supermarkt,"Fehlende Produkte",,csv
2025-09-27,Giro_DE1234,UCAR,-39.99,EUR,Lebensmittel,supermarkt,"Wocheneinkauf",,csv
2025-09-27,Giro_DE1234,LIDL,-34.68,EUR,Lebensmittel,supermarkt,"Wocheneinkauf",,csv

2025-09-29,Giro_DE1234,kaffee,-5.60,EUR,Lebensmittel,Kaffeteria,"Espresso",,csv
2025-09-30,Giro_DE1234,kaffee,-3.60,EUR,Lebensmittel,Kaffeteria,"Espresso",,csv
2025-10-01,Giro_DE1234,kaffee,-1.80,EUR,Lebensmittel,Kaffeteria,"Espresso",,csv
2025-10.01,Giro_DE1234,LIDL,-31.41,EUR,Lebensmittel,supermarkt,"Wocheneinkauf",,csv
2025-10-02,Giro_DE1234,kaffee,-5.20,EUR,Lebensmittel,Kaffeteria,"Espresso",,csv
2025-10.02,Giro_DE1234,LIDL,-12.60,EUR,Lebensmittel,supermarkt,"Wocheneinkauf",,csv
2025-10-02,Giro_DE1234,Rewe,-10.00,EUR,Lebensmittel,supermarkt,"Fehlende Produkte",,csv
2025-10-04,Giro_DE1234,Lidl,-45.00,EUR,Lebensmittel,supermarkt,"Fehlende Produkte",,csv
2025-10-04,Giro_DE1234,UCAR,-38.00,EUR,Lebensmittel,supermarkt,"Wocheneinkauf",,csv
2025-10-04,Giro_DE1234,Backwerk,-4.00,EUR,Lebensmittel,Kaffeteria,"Frühstück",,csv
2025-10-06,Giro_DE1234,kaffee,-3.60,EUR,Lebensmittel,Kaffeteria,"Espresso",,csv
2025-10-06,Giro_DE1234,Lidl,-9.00,EUR,Lebensmittel,supermarkt,"Fehlende Produkte",,csv
2025-10-07,Giro_DE1234,kaffee,-3.60,EUR,Lebensmittel,Kaffeteria,"Espresso",,csv
2025-10-08,Giro_DE1234,Lidl,-21.00,EUR,Lebensmittel,supermarkt,"Fehlende Produkte",,csv

2025-10-08,Giro_DE1234,kaffee,-3.60,EUR,Lebensmittel,Kaffeteria,"Espresso",,csv
2025-10-08,Giro_DE1234,Rewe,-5.00,EUR,Lebensmittel,supermarkt,"Fehlende Produkte",,csv
2025-10-09,Giro_DE1234,kaffee,-3.60,EUR,Lebensmittel,supermarkt,"Espresso",,csv
2025-10-09,Giro_DE1234,Lidl,-9.00,EUR,Lebensmittel,supermarkt,"Fehlende Produkte",,csv
2025-10-10,Giro_DE1234,kaffee,-3.60,EUR,Lebensmittel,supermarkt,"Espresso",,csv
2025-10-10,Giro_DE1234,kaffee,-26,EUR,Lebensmittel,supermarkt,"Mittagessen",,csv
2025-10-11,Giro_DE1234,LIDL,-42.24,EUR,Lebensmittel,supermarkt,"Wocheneinkauf",,

2025-10-13,Giro_DE1234,Lidl,-11.76,EUR,Lebensmittel,supermarkt,"Fehlende Produkte",,csv
2025-10-14,Giro_DE1234,UCAR,-46.00,EUR,Lebensmittel,supermarkt,"Wocheneinkauf",,csv
2025-10-15,Giro_DE1234,Lidl,-15.00,EUR,Lebensmittel,supermarkt,"Fehlende Produkte",,csv
2025-10-17,Giro_DE1234,Lidl,-3.53,EUR,Lebensmittel,supermarkt,"16-10-2025 ",,csv
2025-10-18,Giro_DE1234,EDEKA,-31.00,EUR,Lebensmittel,supermarkt," ",,csv
2025-10-18,Giro_DE1234,Lidl,-14.40,EUR,Lebensmittel,supermarkt,"17-10-2025 ",,csv
2025-10-19,Giro_DE1234,kaffee,-9.00,EUR,Lebensmittel,supermarkt,"kuchen",,csv
2025-10-21,Giro_DE1234,Lidl,-14.40,EUR,Lebensmittel,supermarkt," T:20-10-2025 ",,csv
2025-10-22,Giro_DE1234,Kaufland,-27.00,EUR,Lebensmittel,supermarkt," Fehlende Artikel ",,csv
2025-10-23,Giro_DE1234,Lidl,-10.19,EUR,Lebensmittel,supermarkt,"Fehlende Produkte",,csv
2025-10-24,Giro_DE1234,UCAR,-46.00,EUR,Lebensmittel,supermarkt," Fehlende Artikel ",,csv
2025-10-24,Giro_DE1234,Kaufland,-25.00,EUR,Lebensmittel,supermarkt," Fehlende Artikel ",,csv
2025-10-25,Giro_DE1234,Lidl,-14.00,EUR,Lebensmittel,Kaffeeteria,"Fehlende Produkte",,csv
2025-10-26,Giro_DE1234,kaffee,-22.00,EUR,Lebensmittel,supermarkt,"kuchen",,csv
